User ID,User Age,User Gender,User Income,Preferred Destination,Travel Dates,Travel Duration (days),Travel Purpose,Preferred Travel Mode,Accommodation Type,Total Budget (USD),Accommodation Budget (USD),Activity Budget (USD),Number of Travelers,Preferred Airlines,Preferred Activities
19,22,Female,88066,Tokyo,2024-01-19,8,Family Visit,Plane,Hotel,3825,1243,2582,3,Qatar,Cultural Exploration
20,53,Female,106426,Sydney,2024-01-20,11,Family Visit,Plane,Resort,664,207,457,4,Emirates,Adventure Sports
21,61,Female,41312,Cape Town,2024-01-21,14,Business,Bus,Airbnb,2390,1209,1181,3,Lufthansa,Cultural Exploration
22,49,Male,80071,Paris,2024-01-22,4,Business,Train,Airbnb,2835,1631,1204,4,Lufthansa,Relaxation
23,55,Other,25140,New York,2024-01-23,2,Business,Car,Hostel,597,281,316,2,Qatar,Cultural Exploration
24,64,Male,118373,Sydney,2024-01-24,3,Leisure,Plane,Airbnb,8498,4577,3921,2,Qatar,Cultural Exploration
25,22,Other,80518,Cape Town,2024-01-25,6,Family Visit,Plane,Airbnb,1693,613,1080,5,United,Sightseeing
26,68,Female,130059,Rio de Janeiro,2024-01-26,5,Family Visit,Bus,Resort,4786,1611,3175,1,Delta,Relaxation
27,52,Female,53916,Sydney,2024-01-27,9,Business,Car,Resort,8512,4379,4133,3,United,Adventure Sports
28,21,Other,29029,Rio de Janeiro,2024-01-28,19,Family Visit,Car,Resort,5177,1779,3398,3,United,Cultural Exploration
29,30,Male,85235,Cape Town,2024-01-29,16,Family Visit,Train,Airbnb,3594,1286,2308,5,Qatar,Sightseeing
30,54,Female,112296,Sydney,2024-01-30,1,Business,Car,Hotel,2268,1100,1168,3,Delta,Cultural Exploration
31,61,Male,67774,Rio de Janeiro,2024-01-31,8,Family Visit,Train,Hotel,9017,3123,5894,1,Qatar,Relaxation
32,18,Female,92666,Paris,2024-02-01,7,Business,Car,Hostel,2827,1077,1750,2,Qatar,Sightseeing
33,49,Male,57413,Cape Town,2024-02-02,12,Business,Train,Hotel,729,373,356,3,Emirates,Sightseeing
34,55,Female,125232,Tokyo,2024-02-03,2,Family Visit,Plane,Hotel,4124,2061,2063,2,United,Sightseeing
35,43,Male,59426,Tokyo,2024-02-04,12,Family Visit,Train,Resort,4749,2430,2319,3,Delta,Adventure Sports
36,62,Other,61657,Cape Town,2024-02-05,16,Business,Car,Resort,8604,4842,3762,2,United,Adventure Sports
37,34,Other,96531,New York,2024-02-06,4,Leisure,Bus,Airbnb,872,367,505,1,Delta,Relaxation
38,54,Other,127724,Cape Town,2024-02-07,2,Family Visit,Plane,Hotel,9489,3895,5594,4,United,Cultural Exploration
39,44,Male,117455,Paris,2024-02-08,4,Business,Car,Resort,5171,1980,3191,1,Qatar,Relaxation
40,45,Other,33343,New York,2024-02-09,6,Business,Car,Hostel,8168,4677,3491,2,Qatar,Sightseeing
41,23,Male,22371,Rio de Janeiro,2024-02-10,4,Business,Plane,Hotel,9264,3975,5289,1,Delta,Sightseeing
42,41,Female,142607,Paris,2024-02-11,19,Family Visit,Plane,Hostel,4135,1514,2621,5,Lufthansa,Relaxation
43,49,Female,75581,Sydney,2024-02-12,8,Family Visit,Train,Resort,5278,2302,2976,5,United,Cultural Exploration
44,25,Other,110228,Cape Town,2024-02-13,4,Business,Plane,Airbnb,6096,3461,2635,1,United,Relaxation
45,55,Other,102291,Sydney,2024-02-14,11,Family Visit,Plane,Airbnb,6554,3321,3233,4,Delta,Cultural Exploration
46,55,Female,149089,Cape Town,2024-02-15,20,Leisure,Train,Airbnb,3456,1882,1574,5,Delta,Relaxation
47,31,Male,94070,New York,2024-02-16,20,Business,Train,Airbnb,2524,794,1730,1,Delta,Adventure Sports
48,21,Male,53227,New York,2024-02-17,17,Business,Plane,Resort,3148,1338,1810,3,Emirates,Relaxation
49,66,Male,123517,Tokyo,2024-02-18,11,Family Visit,Car,Hotel,2945,1589,1356,5,United,Adventure Sports
50,40,Female,116907,Paris,2024-02-19,2,Business,Car,Hotel,5398,2351,3047,5,United,Sightseeing
51,66,Other,94042,Sydney,2024-02-20,18,Family Visit,Bus,Hotel,5152,2678,2474,5,Lufthansa,Sightseeing
52,25,Other,31674,Paris,2024-02-21,6,Business,Bus,Hotel,8404,3660,4744,2,Qatar,Relaxation
53,23,Other,76936,Rio de Janeiro,2024-02-22,5,Leisure,Car,Hotel,880,349,531,3,Delta,Relaxation
54,21,Male,102989,Cape Town,2024-02-23,4,Business,Train,Hotel,5238,1901,3337,1,Qatar,Relaxation
55,55,Female,118026,Cape Town,2024-02-24,17,Family Visit,Car,Resort,9525,2963,6562,1,Delta,Relaxation
56,54,Male,93410,Cape Town,2024-02-25,4,Leisure,Car,Resort,2735,883,1852,5,Lufthansa,Sightseeing
57,59,Male,86450,Sydney,2024-02-26,6,Family Visit,Car,Resort,7420,2317,5103,1,United,Relaxation
58,34,Other,124580,New York,2024-02-27,11,Business,Bus,Hotel,7533,3229,4304,2,Qatar,Sightseeing
59,54,Female,113910,Sydney,2024-02-28,4,Leisure,Bus,Hostel,4870,2229,2641,5,Qatar,Relaxation
60,55,Male,136195,Tokyo,2024-02-29,19,Leisure,Plane,Resort,8355,2767,5588,4,Qatar,Relaxation
61,37,Female,68633,Tokyo,2024-03-01,7,Family Visit,Car,Airbnb,5954,2402,3552,1,Emirates,Relaxation
62,53,Other,121260,Rio de Janeiro,2024-03-02,5,Leisure,Car,Hostel,5788,2367,3421,4,Emirates,Relaxation
63,38,Male,97866,Paris,2024-03-03,6,Leisure,Train,Airbnb,3553,2006,1547,3,Delta,Relaxation
64,36,Other,98216,New York,2024-03-04,14,Business,Bus,Resort,6799,3490,3309,5,Qatar,Cultural Exploration
65,67,Other,103753,Sydney,2024-03-05,5,Leisure,Bus,Hotel,4296,2087,2209,2,Emirates,Adventure Sports
66,37,Male,67941,Cape Town,2024-03-06,13,Family Visit,Bus,Airbnb,1358,415,943,2,Emirates,Relaxation
67,32,Female,84305,Tokyo,2024-03-07,4,Business,Train,Resort,1700,589,1111,4,Lufthansa,Adventure Sports
68,52,Other,106236,Paris,2024-03-08,7,Leisure,Bus,Airbnb,1312,434,878,4,Qatar,Sightseeing
69,51,Male,41492,Cape Town,2024-03-09,15,Leisure,Car,Resort,9749,5107,4642,2,Qatar,Sightseeing
70,67,Male,131583,Paris,2024-03-10,20,Leisure,Train,Hotel,6615,2384,4231,2,Emirates,Adventure Sports
71,37,Other,61320,Sydney,2024-03-11,11,Leisure,Train,Resort,2768,1022,1746,1,Delta,Cultural Exploration
72,64,Other,49617,Sydney,2024-03-12,3,Business,Car,Resort,9388,3127,6261,3,United,Sightseeing
73,47,Female,106160,Tokyo,2024-03-13,10,Leisure,Bus,Airbnb,8924,4918,4006,5,Delta,Sightseeing
74,60,Other,80657,Sydney,2024-03-14,1,Family Visit,Plane,Hostel,3543,1292,2251,5,Emirates,Sightseeing
75,34,Other,136501,Tokyo,2024-03-15,9,Business,Train,Hotel,3168,1172,1996,2,Emirates,Sightseeing
76,28,Other,104612,Cape Town,2024-03-16,9,Family Visit,Plane,Hotel,4017,1543,2474,1,Qatar,Relaxation
77,28,Female,35734,Rio de Janeiro,2024-03-17,16,Business,Train,Hotel,8639,4503,4136,5,Emirates,Relaxation
78,68,Female,51966,Rio de Janeiro,2024-03-18,2,Family Visit,Plane,Airbnb,7206,2630,4576,2,Emirates,Cultural Exploration
79,19,Female,130233,Tokyo,2024-03-19,4,Leisure,Bus,Hotel,8329,4859,3470,4,United,Relaxation
80,66,Male,50389,Paris,2024-03-20,18,Business,Train,Hotel,1386,780,606,1,Qatar,Sightseeing
81,41,Female,74429,Sydney,2024-03-21,18,Business,Plane,Airbnb,9212,4715,4497,3,Qatar,Cultural Exploration
82,19,Male,103546,Sydney,2024-03-22,12,Business,Plane,Hostel,1916,853,1063,1,Emirates,Cultural Exploration
83,67,Other,117866,New York,2024-03-23,6,Family Visit,Train,Resort,1765,728,1037,1,Delta,Adventure Sports
84,31,Female,112466,Paris,2024-03-24,11,Leisure,Car,Hotel,7653,2857,4796,2,Lufthansa,Relaxation
85,34,Male,51958,Rio de Janeiro,2024-03-25,11,Business,Bus,Airbnb,2254,1056,1198,4,Qatar,Cultural Exploration
86,32,Male,136203,Cape Town,2024-03-26,1,Business,Plane,Hostel,812,446,366,2,Emirates,Adventure Sports
87,56,Other,32220,Rio de Janeiro,2024-03-27,19,Business,Plane,Hotel,1602,789,813,4,Delta,Relaxation
88,22,Other,139733,Tokyo,2024-03-28,4,Leisure,Bus,Resort,2687,824,1863,1,Delta,Adventure Sports
89,41,Other,99751,Rio de Janeiro,2024-03-29,2,Leisure,Car,Airbnb,5156,2874,2282,3,Qatar,Adventure Sports
90,52,Female,31420,Tokyo,2024-03-30,2,Leisure,Car,Hotel,8314,4793,3521,3,Lufthansa,Relaxation
91,40,Male,77315,New York,2024-03-31,10,Leisure,Car,Airbnb,2587,1245,1342,3,Lufthansa,Relaxation
92,30,Female,29968,Sydney,2024-04-01,15,Business,Plane,Airbnb,5455,2717,2738,5,Delta,Sightseeing
93,20,Male,37177,Rio de Janeiro,2024-04-02,11,Leisure,Plane,Hotel,5487,3227,2260,1,Qatar,Sightseeing
94,62,Female,68667,Tokyo,2024-04-03,13,Business,Bus,Hotel,6794,2065,4729,1,Lufthansa,Sightseeing
95,27,Female,79327,Sydney,2024-04-04,14,Family Visit,Bus,Airbnb,3223,1290,1933,4,United,Sightseeing
96,41,Female,134073,New York,2024-04-05,19,Leisure,Bus,Hostel,5330,2892,2438,5,Qatar,Cultural Exploration
97,62,Other,119213,Rio de Janeiro,2024-04-06,6,Leisure,Car,Hotel,7210,4245,2965,3,Delta,Sightseeing
98,38,Female,140758,New York,2024-04-07,18,Leisure,Bus,Hostel,4652,2319,2333,5,Emirates,Adventure Sports
99,43,Male,22760,Rio de Janeiro,2024-04-08,3,Family Visit,Plane,Airbnb,5035,2790,2245,2,Emirates,Cultural Exploration
100,31,Female,143757,Rio de Janeiro,2024-04-09,14,Business,Bus,Hotel,7508,3182,4326,2,Qatar,Relaxation
101,30,Other,127644,New York,2024-04-10,8,Business,Car,Resort,4296,2189,2107,4,Delta,Sightseeing
102,21,Other,108121,Tokyo,2024-04-11,6,Business,Plane,Airbnb,4161,1541,2620,2,Qatar,Sightseeing
103,31,Female,123828,New York,2024-04-12,17,Business,Bus,Hotel,7388,4027,3361,4,Lufthansa,Adventure Sports
104,34,Male,54600,Sydney,2024-04-13,10,Family Visit,Bus,Hostel,7329,2616,4713,5,Emirates,Cultural Exploration
105,52,Male,81080,Cape Town,2024-04-14,3,Business,Plane,Hostel,1727,519,1208,4,Emirates,Relaxation
106,67,Other,47196,Tokyo,2024-04-15,2,Business,Plane,Resort,8837,3303,5534,5,United,Cultural Exploration
107,65,Other,123368,New York,2024-04-16,1,Leisure,Bus,Airbnb,6662,3632,3030,5,Emirates,Cultural Exploration
108,69,Male,37478,Cape Town,2024-04-17,7,Family Visit,Plane,Hotel,6938,3031,3907,5,Delta,Adventure Sports
109,34,Female,36450,Paris,2024-04-18,15,Family Visit,Plane,Hostel,585,223,362,3,Emirates,Relaxation
110,31,Female,73283,Tokyo,2024-04-19,5,Business,Car,Hotel,8530,3490,5040,1,Lufthansa,Adventure Sports
111,41,Female,107043,Sydney,2024-04-20,20,Leisure,Bus,Airbnb,3726,1794,1932,1,United,Cultural Exploration
112,58,Male,42836,Sydney,2024-04-21,18,Family Visit,Train,Hotel,7519,4049,3470,1,Lufthansa,Cultural Exploration
113,19,Male,100791,Sydney,2024-04-22,11,Family Visit,Bus,Hostel,9657,5706,3951,5,Emirates,Relaxation
114,57,Other,85318,Sydney,2024-04-23,9,Business,Train,Resort,1851,1057,794,3,Lufthansa,Adventure Sports
115,54,Other,138953,Rio de Janeiro,2024-04-24,14,Family Visit,Car,Resort,1636,874,762,2,Lufthansa,Adventure Sports
116,64,Male,62464,Paris,2024-04-25,19,Leisure,Train,Hotel,4357,1363,2994,1,Emirates,Adventure Sports
117,55,Male,86217,New York,2024-04-26,12,Family Visit,Bus,Hostel,3863,1404,2459,3,Qatar,Sightseeing
118,32,Other,45708,Tokyo,2024-04-27,9,Leisure,Train,Hostel,7740,3145,4595,5,Delta,Relaxation
119,68,Male,139512,New York,2024-04-28,10,Family Visit,Plane,Hotel,4607,1489,3118,2,Lufthansa,Cultural Exploration
120,44,Female,130959,Cape Town,2024-04-29,5,Leisure,Plane,Resort,5906,2904,3002,3,United,Adventure Sports
121,34,Other,24860,Tokyo,2024-04-30,16,Business,Train,Resort,2154,1205,949,4,Lufthansa,Cultural Exploration
122,25,Male,26440,Paris,2024-05-01,12,Business,Bus,Airbnb,609,360,249,5,Lufthansa,Relaxation
123,24,Female,78228,New York,2024-05-02,12,Business,Car,Hostel,9326,3229,6097,5,Delta,Cultural Exploration
124,39,Female,28864,Cape Town,2024-05-03,10,Family Visit,Train,Airbnb,2435,881,1554,2,United,Adventure Sports
125,59,Other,31075,Rio de Janeiro,2024-05-04,5,Business,Bus,Resort,8749,3352,5397,5,Qatar,Cultural Exploration
126,39,Female,84906,Rio de Janeiro,2024-05-05,1,Leisure,Plane,Airbnb,3036,985,2051,4,Qatar,Sightseeing
127,36,Female,87709,Tokyo,2024-05-06,16,Business,Bus,Hotel,7687,3076,4611,4,Qatar,Adventure Sports
128,66,Male,86789,Cape Town,2024-05-07,6,Family Visit,Bus,Airbnb,5273,2412,2861,4,Emirates,Adventure Sports
129,62,Female,55990,New York,2024-05-08,14,Business,Bus,Resort,5824,3054,2770,4,Emirates,Relaxation
130,21,Male,49684,Tokyo,2024-05-09,5,Leisure,Bus,Hotel,1233,586,647,2,Emirates,Sightseeing
131,59,Female,76687,Tokyo,2024-05-10,7,Leisure,Car,Hostel,7982,4424,3558,3,United,Relaxation
132,47,Female,103726,New York,2024-05-11,7,Business,Plane,Resort,1729,652,1077,4,United,Adventure Sports
133,35,Female,149370,Paris,2024-05-12,19,Business,Car,Hostel,3125,1714,1411,2,United,Adventure Sports
134,65,Male,93699,Sydney,2024-05-13,10,Leisure,Car,Airbnb,1821,941,880,4,United,Cultural Exploration
135,18,Male,35314,Paris,2024-05-14,4,Leisure,Plane,Hotel,6416,2051,4365,4,Emirates,Adventure Sports
136,23,Other,72978,Paris,2024-05-15,12,Business,Car,Hotel,9101,4056,5045,1,Emirates,Cultural Exploration
137,57,Male,59311,New York,2024-05-16,2,Business,Train,Resort,5399,1885,3514,4,Delta,Cultural Exploration
138,42,Other,78890,Rio de Janeiro,2024-05-17,15,Business,Plane,Hotel,5718,1873,3845,2,Qatar,Relaxation
139,53,Female,27566,Tokyo,2024-05-18,3,Family Visit,Car,Airbnb,7753,2609,5144,1,Emirates,Relaxation
140,37,Female,78824,Paris,2024-05-19,10,Family Visit,Plane,Hotel,7801,3273,4528,3,Qatar,Adventure Sports
141,55,Female,76658,Sydney,2024-05-20,1,Leisure,Bus,Resort,2558,1141,1417,4,Delta,Sightseeing
142,49,Female,43543,Paris,2024-05-21,5,Family Visit,Plane,Hotel,3691,1564,2127,3,United,Cultural Exploration
143,36,Female,43186,Paris,2024-05-22,14,Leisure,Plane,Hotel,8658,4027,4631,2,Delta,Sightseeing
144,50,Female,40462,Tokyo,2024-05-23,15,Leisure,Bus,Hotel,3551,1728,1823,2,Qatar,Adventure Sports
145,69,Female,91712,Rio de Janeiro,2024-05-24,8,Family Visit,Plane,Hostel,6463,2837,3626,4,Delta,Relaxation
146,27,Male,119108,Cape Town,2024-05-25,8,Leisure,Car,Hostel,2819,1357,1462,5,Delta,Relaxation
147,28,Other,76553,Paris,2024-05-26,8,Family Visit,Car,Hostel,4863,2915,1948,5,Delta,Adventure Sports
148,40,Other,21591,Paris,2024-05-27,13,Family Visit,Train,Hotel,6797,2701,4096,3,Delta,Sightseeing
149,21,Male,128129,Sydney,2024-05-28,7,Family Visit,Car,Resort,1286,599,687,2,Qatar,Relaxation
150,50,Male,59430,Paris,2024-05-29,8,Family Visit,Plane,Hostel,5464,3022,2442,4,Delta,Sightseeing
151,30,Other,85503,Paris,2024-05-30,18,Family Visit,Train,Hotel,1308,620,688,3,United,Cultural Exploration
152,36,Male,63210,Cape Town,2024-05-31,20,Leisure,Car,Hotel,9081,4016,5065,1,Emirates,Cultural Exploration
153,36,Male,39373,Tokyo,2024-06-01,17,Business,Plane,Resort,8306,4035,4271,5,Delta,Adventure Sports
154,65,Female,97610,Sydney,2024-06-02,13,Business,Bus,Hotel,3320,1774,1546,5,Lufthansa,Relaxation
155,42,Male,58261,Rio de Janeiro,2024-06-03,4,Family Visit,Car,Airbnb,2231,771,1460,5,Qatar,Adventure Sports
156,58,Male,20195,Sydney,2024-06-04,1,Family Visit,Bus,Hostel,7136,2417,4719,3,Qatar,Relaxation
157,51,Other,107167,Sydney,2024-06-05,15,Business,Plane,Resort,7828,3250,4578,5,Lufthansa,Cultural Exploration
158,27,Other,43042,Paris,2024-06-06,6,Family Visit,Car,Airbnb,7988,3648,4340,2,Emirates,Sightseeing
159,69,Female,144565,Cape Town,2024-06-07,8,Family Visit,Train,Airbnb,2695,1364,1331,1,Delta,Adventure Sports
160,28,Female,105550,Tokyo,2024-06-08,1,Leisure,Train,Hostel,5163,2176,2987,1,United,Adventure Sports
161,35,Other,35068,Rio de Janeiro,2024-06-09,17,Family Visit,Plane,Resort,6800,3843,2957,1,Lufthansa,Cultural Exploration
162,64,Other,73780,Rio de Janeiro,2024-06-10,11,Business,Train,Airbnb,4711,1652,3059,5,United,Adventure Sports
163,53,Female,32066,Sydney,2024-06-11,16,Business,Train,Resort,8057,4203,3854,4,Emirates,Cultural Exploration
164,29,Other,124931,Sydney,2024-06-12,17,Leisure,Train,Hostel,4996,2686,2310,1,Emirates,Sightseeing
165,32,Female,28885,Cape Town,2024-06-13,3,Family Visit,Plane,Hostel,4268,2331,1937,1,United,Relaxation
166,66,Male,108216,Cape Town,2024-06-14,9,Leisure,Bus,Hostel,3349,1548,1801,2,Lufthansa,Cultural Exploration
167,56,Female,38015,Paris,2024-06-15,20,Business,Plane,Resort,6676,3374,3302,3,Qatar,Cultural Exploration
168,32,Female,32181,New York,2024-06-16,18,Business,Train,Resort,7175,2359,4816,5,Emirates,Relaxation
169,47,Other,51208,Rio de Janeiro,2024-06-17,12,Business,Train,Airbnb,5399,2488,2911,5,Qatar,Sightseeing
170,41,Female,141685,Rio de Janeiro,2024-06-18,18,Business,Plane,Airbnb,6356,2286,4070,4,Emirates,Cultural Exploration
171,23,Other,69015,New York,2024-06-19,20,Family Visit,Plane,Resort,1616,870,746,3,Qatar,Cultural Exploration
172,48,Female,84719,Tokyo,2024-06-20,9,Business,Bus,Hotel,9950,3279,6671,5,Delta,Relaxation
173,38,Female,26326,Sydney,2024-06-21,1,Business,Train,Hostel,2646,901,1745,2,United,Adventure Sports
174,69,Female,74913,Tokyo,2024-06-22,11,Leisure,Plane,Airbnb,4398,1540,2858,3,Emirates,Adventure Sports
175,46,Female,45075,Paris,2024-06-23,3,Business,Plane,Airbnb,6390,3678,2712,1,Emirates,Adventure Sports
176,37,Other,136414,New York,2024-06-24,11,Business,Plane,Airbnb,3165,1402,1763,5,Qatar,Cultural Exploration
177,20,Other,55935,Paris,2024-06-25,15,Family Visit,Train,Hotel,5254,2779,2475,5,Qatar,Sightseeing
178,51,Male,76306,Tokyo,2024-06-26,6,Business,Plane,Hostel,1088,510,578,3,Lufthansa,Adventure Sports
179,40,Female,109790,New York,2024-06-27,6,Leisure,Car,Hostel,9399,3794,5605,5,Emirates,Cultural Exploration
180,56,Male,103295,New York,2024-06-28,7,Business,Bus,Hotel,9147,3793,5354,3,Delta,Sightseeing
181,18,Female,35400,Rio de Janeiro,2024-06-29,12,Leisure,Train,Airbnb,539,203,336,4,United,Cultural Exploration
182,23,Male,114633,Tokyo,2024-06-30,5,Business,Car,Hostel,3467,1379,2088,5,Qatar,Cultural Exploration
183,42,Male,43993,Sydney,2024-07-01,15,Family Visit,Car,Airbnb,1807,981,826,1,Qatar,Cultural Exploration
184,25,Male,145423,Paris,2024-07-02,2,Leisure,Bus,Resort,5804,2886,2918,3,United,Cultural Exploration
185,54,Female,85222,Sydney,2024-07-03,8,Leisure,Bus,Resort,5264,2404,2860,1,Qatar,Adventure Sports
186,44,Female,22922,Cape Town,2024-07-04,19,Leisure,Bus,Hotel,8607,4679,3928,4,Emirates,Cultural Exploration
187,62,Female,117795,Rio de Janeiro,2024-07-05,1,Leisure,Train,Resort,5644,3059,2585,1,Emirates,Relaxation
188,63,Other,83389,New York,2024-07-06,3,Family Visit,Car,Hostel,5595,2603,2992,2,Lufthansa,Adventure Sports
189,43,Female,70535,Cape Town,2024-07-07,2,Business,Car,Hostel,4866,1861,3005,3,United,Sightseeing
190,35,Female,88750,Sydney,2024-07-08,3,Leisure,Bus,Airbnb,784,388,396,5,Qatar,Relaxation
191,32,Female,86205,Rio de Janeiro,2024-07-09,3,Family Visit,Plane,Resort,9376,5184,4192,1,United,Adventure Sports
192,45,Female,140162,Rio de Janeiro,2024-07-10,10,Leisure,Plane,Airbnb,6012,2225,3787,4,United,Relaxation
193,63,Male,141615,New York,2024-07-11,7,Family Visit,Bus,Airbnb,8010,4351,3659,2,United,Sightseeing
194,61,Male,118256,Paris,2024-07-12,10,Business,Bus,Hostel,2718,1395,1323,5,United,Adventure Sports
195,69,Other,105365,Rio de Janeiro,2024-07-13,13,Business,Car,Airbnb,9524,4069,5455,3,Emirates,Sightseeing
196,20,Male,125129,Rio de Janeiro,2024-07-14,12,Leisure,Car,Hostel,2967,938,2029,2,Lufthansa,Adventure Sports
197,65,Female,120824,Cape Town,2024-07-15,8,Leisure,Plane,Resort,5207,2698,2509,1,Qatar,Cultural Exploration
198,62,Male,40452,Paris,2024-07-16,16,Family Visit,Bus,Airbnb,9116,3091,6025,5,Lufthansa,Adventure Sports
199,59,Male,116399,Cape Town,2024-07-17,8,Business,Car,Hostel,7218,3206,4012,4,Delta,Sightseeing
200,62,Other,91177,New York,2024-07-18,14,Family Visit,Train,Hostel,691,215,476,5,United,Adventure Sports
201,24,Male,70096,Rio de Janeiro,2024-07-19,7,Family Visit,Plane,Hotel,1909,1065,844,5,Lufthansa,Cultural Exploration
202,69,Other,33224,Tokyo,2024-07-20,3,Leisure,Plane,Hotel,3128,1873,1255,5,Qatar,Sightseeing
203,18,Male,38827,Rio de Janeiro,2024-07-21,9,Leisure,Bus,Hostel,2254,1073,1181,5,Lufthansa,Adventure Sports
204,19,Other,25513,Sydney,2024-07-22,1,Business,Plane,Airbnb,814,481,333,1,Emirates,Relaxation
205,56,Female,28780,Tokyo,2024-07-23,17,Family Visit,Plane,Hostel,4021,2139,1882,4,Lufthansa,Cultural Exploration
206,65,Male,92278,New York,2024-07-24,2,Leisure,Train,Resort,9465,3420,6045,4,Qatar,Adventure Sports
207,56,Female,24012,New York,2024-07-25,18,Business,Bus,Airbnb,526,287,239,4,Delta,Adventure Sports
208,34,Male,54622,Rio de Janeiro,2024-07-26,5,Leisure,Car,Hostel,3914,1424,2490,1,Lufthansa,Relaxation
209,54,Female,90096,Tokyo,2024-07-27,3,Family Visit,Bus,Hotel,2691,1320,1371,4,United,Adventure Sports
210,42,Female,90914,Tokyo,2024-07-28,13,Business,Train,Hotel,7932,3415,4517,2,Emirates,Cultural Exploration
211,46,Other,145822,New York,2024-07-29,7,Family Visit,Train,Hotel,9773,3261,6512,5,Qatar,Sightseeing
212,58,Female,48950,New York,2024-07-30,13,Leisure,Train,Airbnb,8493,5086,3407,4,Qatar,Adventure Sports
213,28,Male,142200,Cape Town,2024-07-31,3,Business,Plane,Hotel,2338,1337,1001,2,Lufthansa,Relaxation
214,56,Other,36115,Paris,2024-08-01,13,Family Visit,Car,Airbnb,9658,3331,6327,4,Emirates,Sightseeing
215,43,Male,107492,Tokyo,2024-08-02,13,Family Visit,Plane,Airbnb,9273,4205,5068,2,Qatar,Cultural Exploration
216,56,Other,66742,Cape Town,2024-08-03,15,Leisure,Bus,Hostel,7144,3091,4053,5,Qatar,Adventure Sports
217,50,Female,136729,New York,2024-08-04,5,Family Visit,Plane,Hostel,3123,1381,1742,3,Delta,Cultural Exploration
218,22,Other,97403,Cape Town,2024-08-05,14,Family Visit,Car,Airbnb,5017,1984,3033,1,United,Cultural Exploration
219,48,Male,110648,Sydney,2024-08-06,6,Leisure,Car,Airbnb,3986,1890,2096,1,Delta,Cultural Exploration
220,69,Other,144170,Cape Town,2024-08-07,10,Leisure,Plane,Resort,2580,1063,1517,2,Delta,Sightseeing
221,20,Female,149294,Cape Town,2024-08-08,5,Leisure,Car,Hostel,6078,3130,2948,1,Lufthansa,Relaxation
222,61,Other,69310,Tokyo,2024-08-09,7,Business,Plane,Hotel,6064,2766,3298,1,Qatar,Adventure Sports
223,21,Other,125260,Paris,2024-08-10,13,Family Visit,Train,Hostel,3530,1757,1773,2,United,Relaxation
224,56,Female,85443,Rio de Janeiro,2024-08-11,3,Business,Car,Airbnb,7746,4272,3474,2,United,Adventure Sports
225,54,Female,41195,Paris,2024-08-12,17,Business,Plane,Resort,9182,4671,4511,3,United,Relaxation
226,19,Other,77960,Rio de Janeiro,2024-08-13,19,Family Visit,Car,Airbnb,1301,585,716,3,United,Relaxation
