User ID,User Age,User Gender,User Income,Starting Place,Preferred Destination,Travel Dates,Travel Duration (days),Travel Purpose,Preferred Travel Mode,Accommodation Type,Total Budget (USD),Accommodation Budget (USD),Activity Budget (USD),Number of Travelers,Preferred Airlines,Preferred Activities,Starting Destination
71,23,Female,115667,USA,Tokyo,2024-03-11,1,Leisure,Car,Airbnb,4929,2299,2630,1,Qatar,Sightseeing,India
72,55,Female,88817,Canada,Sydney,2024-03-12,18,Leisure,Car,Hostel,7711,3140,4571,2,United,Sightseeing,India
73,25,Male,109345,USA,Paris,2024-03-13,9,Leisure,Train,Hotel,1538,641,897,4,Emirates,Adventure Sports,India
74,52,Female,49263,USA,Cape Town,2024-03-14,6,Family Visit,Bus,Airbnb,7017,3950,3067,2,Delta,Adventure Sports,India
75,63,Other,20533,USA,Rio de Janeiro,2024-03-15,11,Business,Bus,Resort,7593,3594,3999,2,Delta,Sightseeing,India
76,50,Other,65834,Australia,Paris,2024-03-16,6,Business,Plane,Resort,5528,3066,2462,3,Lufthansa,Sightseeing,India
77,41,Other,117601,USA,Rio de Janeiro,2024-03-17,12,Business,Car,Hotel,6336,2191,4145,4,United,Cultural Exploration,India
78,54,Male,25481,India,Paris,2024-03-18,17,Leisure,Bus,Hotel,524,226,298,5,Emirates,Cultural Exploration,India
79,51,Male,149455,India,Sydney,2024-03-19,3,Business,Train,Resort,9547,3677,5870,4,Emirates,Adventure Sports,India
80,24,Other,83200,USA,Rio de Janeiro,2024-03-20,4,Business,Car,Hostel,7852,3629,4223,2,Lufthansa,Adventure Sports,India
81,25,Female,83162,Australia,Paris,2024-03-21,3,Leisure,Train,Airbnb,6505,2207,4298,4,Delta,Relaxation,India
82,56,Female,105165,USA,Tokyo,2024-03-22,6,Leisure,Train,Hotel,2036,1148,888,1,United,Sightseeing,India
83,58,Female,90684,USA,Rio de Janeiro,2024-03-23,20,Business,Train,Hotel,5287,1810,3477,3,Delta,Sightseeing,India
84,25,Female,27325,UK,Cape Town,2024-03-24,1,Leisure,Plane,Hotel,4108,1498,2610,3,Emirates,Sightseeing,India
85,31,Male,36321,Canada,New York,2024-03-25,14,Family Visit,Bus,Hostel,9727,5398,4329,2,Lufthansa,Adventure Sports,India
86,56,Other,114511,Canada,Tokyo,2024-03-26,9,Leisure,Car,Hostel,4245,2208,2037,4,Delta,Relaxation,India
87,43,Male,51085,India,Cape Town,2024-03-27,13,Family Visit,Bus,Resort,2825,953,1872,2,Delta,Relaxation,India
88,67,Female,124462,Australia,New York,2024-03-28,19,Family Visit,Train,Airbnb,790,316,474,5,Emirates,Cultural Exploration,India
89,35,Male,111511,USA,New York,2024-03-29,14,Business,Plane,Airbnb,8970,4086,4884,2,Lufthansa,Adventure Sports,India
90,44,Female,87647,India,Tokyo,2024-03-30,17,Family Visit,Train,Resort,6241,2777,3464,1,United,Relaxation,India
91,39,Other,94386,UK,Sydney,2024-03-31,13,Family Visit,Car,Airbnb,855,382,473,1,Delta,Cultural Exploration,India
92,50,Female,131965,USA,Sydney,2024-04-01,8,Leisure,Bus,Hotel,629,327,302,5,Delta,Sightseeing,India
93,39,Other,58141,USA,Sydney,2024-04-02,14,Business,Car,Resort,4056,1391,2665,2,Emirates,Relaxation,India
94,21,Other,20772,Australia,Sydney,2024-04-03,17,Leisure,Train,Hotel,6526,2509,4017,3,Delta,Relaxation,India
95,20,Other,45903,Canada,New York,2024-04-04,6,Leisure,Train,Airbnb,3405,1791,1614,2,Emirates,Sightseeing,India
96,62,Other,39387,UK,Cape Town,2024-04-05,1,Family Visit,Bus,Hotel,932,316,616,3,Emirates,Relaxation,India
97,52,Male,103041,India,Rio de Janeiro,2024-04-06,6,Business,Car,Resort,1575,876,699,5,Qatar,Relaxation,India
98,38,Other,116228,USA,Paris,2024-04-07,15,Family Visit,Plane,Hostel,5379,1727,3652,1,Delta,Sightseeing,India
99,56,Other,60817,India,Cape Town,2024-04-08,16,Leisure,Car,Hotel,2469,1472,997,3,Qatar,Sightseeing,India
100,33,Other,63318,Australia,Paris,2024-04-09,10,Business,Plane,Hostel,9767,3850,5917,1,United,Cultural Exploration,India
101,20,Other,69097,UK,Paris,2024-04-10,3,Business,Car,Hostel,6066,2310,3756,5,Emirates,Relaxation,India
102,49,Other,47471,Australia,Cape Town,2024-04-11,7,Business,Train,Resort,8173,4481,3692,3,Delta,Relaxation,India
103,45,Male,49567,UK,New York,2024-04-12,12,Family Visit,Plane,Airbnb,2586,846,1740,2,Delta,Cultural Exploration,India
104,51,Other,126133,UK,New York,2024-04-13,10,Business,Plane,Hotel,2915,1478,1437,4,Delta,Adventure Sports,India
105,44,Male,44857,UK,Rio de Janeiro,2024-04-14,5,Business,Train,Hostel,6407,3688,2719,2,Lufthansa,Relaxation,India
106,27,Other,31377,India,New York,2024-04-15,12,Leisure,Train,Airbnb,4311,1865,2446,5,Lufthansa,Adventure Sports,India
107,37,Female,116794,UK,Paris,2024-04-16,2,Leisure,Bus,Hostel,8244,3989,4255,5,United,Cultural Exploration,India
108,22,Other,146809,USA,New York,2024-04-17,7,Business,Plane,Airbnb,2267,1280,987,2,United,Adventure Sports,India
109,19,Male,142010,UK,Sydney,2024-04-18,9,Business,Train,Hostel,6493,2855,3638,4,Lufthansa,Sightseeing,India
110,27,Male,54209,UK,Rio de Janeiro,2024-04-19,19,Family Visit,Plane,Resort,4323,2563,1760,5,Lufthansa,Cultural Exploration,India
111,56,Male,116213,USA,New York,2024-04-20,18,Family Visit,Car,Hostel,3549,1690,1859,3,Emirates,Cultural Exploration,India
112,30,Male,61573,UK,Cape Town,2024-04-21,15,Leisure,Plane,Resort,8540,4256,4284,5,United,Adventure Sports,India
113,54,Female,43911,India,New York,2024-04-22,5,Leisure,Bus,Hotel,2799,1524,1275,5,Delta,Cultural Exploration,India
114,19,Other,130506,USA,Cape Town,2024-04-23,19,Business,Plane,Airbnb,6853,2849,4004,1,Lufthansa,Relaxation,India
115,41,Other,137796,Canada,Rio de Janeiro,2024-04-24,7,Leisure,Train,Resort,2405,883,1522,5,Delta,Adventure Sports,India
116,64,Male,104251,Canada,Cape Town,2024-04-25,4,Family Visit,Plane,Hostel,1950,1126,824,3,United,Adventure Sports,India
117,66,Female,102623,India,Cape Town,2024-04-26,5,Business,Plane,Resort,3386,1106,2280,5,Qatar,Relaxation,India
118,22,Female,115279,UK,Cape Town,2024-04-27,4,Leisure,Plane,Resort,7750,3651,4099,5,Delta,Cultural Exploration,India
119,69,Female,127390,USA,Paris,2024-04-28,9,Family Visit,Bus,Hostel,632,377,255,2,Qatar,Relaxation,India
120,62,Male,53688,Canada,Sydney,2024-04-29,2,Family Visit,Train,Hostel,9875,5607,4268,5,Lufthansa,Relaxation,India
121,34,Other,127799,UK,Paris,2024-04-30,7,Family Visit,Train,Resort,4025,1771,2254,4,Lufthansa,Sightseeing,India
122,33,Female,111009,UK,Rio de Janeiro,2024-05-01,18,Leisure,Bus,Airbnb,9602,4985,4617,3,Emirates,Relaxation,India
123,52,Other,129283,Canada,New York,2024-05-02,17,Leisure,Car,Resort,2357,863,1494,2,Lufthansa,Adventure Sports,India
124,34,Other,119379,Australia,Cape Town,2024-05-03,16,Leisure,Train,Hotel,4463,1742,2721,5,Emirates,Relaxation,India
125,52,Female,109967,USA,Rio de Janeiro,2024-05-04,3,Family Visit,Train,Hotel,9832,5667,4165,5,Emirates,Relaxation,India
126,61,Male,38420,Canada,Paris,2024-05-05,6,Business,Bus,Resort,6399,2062,4337,2,Delta,Cultural Exploration,India
127,19,Other,34304,USA,Tokyo,2024-05-06,7,Leisure,Car,Hostel,9730,3939,5791,1,Qatar,Cultural Exploration,India
128,58,Male,110182,USA,Sydney,2024-05-07,4,Business,Car,Resort,9475,4813,4662,2,Delta,Relaxation,India
129,35,Female,136675,India,Sydney,2024-05-08,13,Family Visit,Train,Resort,5591,1774,3817,4,Emirates,Sightseeing,India
130,54,Female,112750,Australia,New York,2024-05-09,18,Business,Bus,Hotel,6055,2517,3538,2,Delta,Relaxation,India
131,44,Male,44980,UK,Sydney,2024-05-10,13,Leisure,Bus,Hostel,6542,2632,3910,4,United,Adventure Sports,India
132,55,Male,48617,Australia,Tokyo,2024-05-11,8,Family Visit,Bus,Airbnb,8810,3625,5185,4,Qatar,Sightseeing,India
133,68,Other,99057,Canada,Rio de Janeiro,2024-05-12,17,Leisure,Train,Airbnb,2756,1155,1601,5,United,Relaxation,India
134,19,Female,110800,UK,Sydney,2024-05-13,17,Leisure,Car,Airbnb,7869,3426,4443,1,Delta,Adventure Sports,India
135,30,Other,110140,UK,Cape Town,2024-05-14,12,Family Visit,Car,Airbnb,1163,542,621,3,Emirates,Sightseeing,India
136,64,Other,81656,UK,Rio de Janeiro,2024-05-15,13,Family Visit,Bus,Hotel,6560,3158,3402,1,Lufthansa,Cultural Exploration,India
137,69,Other,59548,USA,Cape Town,2024-05-16,5,Family Visit,Train,Hostel,2386,733,1653,3,Lufthansa,Cultural Exploration,India
138,53,Male,115935,India,Tokyo,2024-05-17,18,Leisure,Bus,Hotel,1031,606,425,2,United,Cultural Exploration,India
139,38,Female,45078,UK,New York,2024-05-18,1,Leisure,Train,Hotel,1754,684,1070,5,Lufthansa,Sightseeing,India
140,62,Female,101233,Australia,Cape Town,2024-05-19,7,Family Visit,Train,Airbnb,1898,667,1231,1,Qatar,Adventure Sports,India
141,45,Female,80812,India,Sydney,2024-05-20,2,Business,Bus,Hotel,2753,844,1909,2,Emirates,Sightseeing,India
142,34,Female,66731,UK,Paris,2024-05-21,13,Business,Car,Hotel,6573,3108,3465,1,Qatar,Adventure Sports,India
143,67,Female,47720,Australia,Cape Town,2024-05-22,1,Family Visit,Plane,Hostel,2584,1044,1540,3,Emirates,Cultural Exploration,India
144,44,Male,149818,India,Sydney,2024-05-23,4,Business,Bus,Hostel,5604,2223,3381,3,United,Adventure Sports,India
145,34,Female,57818,India,Tokyo,2024-05-24,3,Leisure,Bus,Hostel,1564,752,812,1,United,Adventure Sports,India
146,52,Male,93648,Australia,Tokyo,2024-05-25,3,Family Visit,Car,Airbnb,593,251,342,3,Lufthansa,Cultural Exploration,India
147,39,Male,99960,USA,Paris,2024-05-26,15,Business,Plane,Hostel,8111,2550,5561,2,Emirates,Relaxation,India
148,57,Male,41434,UK,Rio de Janeiro,2024-05-27,4,Business,Car,Hostel,7098,4074,3024,5,Qatar,Relaxation,India
149,48,Male,126400,India,Sydney,2024-05-28,4,Family Visit,Train,Airbnb,8867,4967,3900,3,Emirates,Relaxation,India
150,19,Other,41842,Canada,Cape Town,2024-05-29,2,Leisure,Car,Hostel,4623,1436,3187,2,Qatar,Adventure Sports,India
151,63,Male,22110,Australia,Rio de Janeiro,2024-05-30,6,Business,Bus,Airbnb,1972,615,1357,5,United,Relaxation,India
152,53,Other,40184,Canada,Tokyo,2024-05-31,4,Family Visit,Bus,Airbnb,3312,1253,2059,4,Emirates,Adventure Sports,India
153,18,Other,73594,USA,Rio de Janeiro,2024-06-01,1,Family Visit,Car,Airbnb,1086,610,476,3,United,Adventure Sports,India
154,51,Male,56439,Australia,Tokyo,2024-06-02,9,Business,Plane,Resort,4070,1574,2496,3,Lufthansa,Adventure Sports,India
155,27,Female,124337,USA,Rio de Janeiro,2024-06-03,2,Business,Plane,Hotel,2458,1315,1143,3,Qatar,Relaxation,India
156,33,Female,53939,UK,Sydney,2024-06-04,15,Leisure,Train,Hotel,7240,3933,3307,1,Qatar,Relaxation,India
157,64,Other,143468,USA,Paris,2024-06-05,20,Leisure,Bus,Hotel,2188,1017,1171,5,Emirates,Sightseeing,India
158,37,Other,73264,India,Cape Town,2024-06-06,20,Leisure,Car,Hostel,4743,2144,2599,2,Delta,Adventure Sports,India
159,25,Other,39107,India,Sydney,2024-06-07,19,Family Visit,Train,Hostel,8076,2885,5191,5,Qatar,Adventure Sports,India
160,51,Other,49449,Australia,Tokyo,2024-06-08,10,Family Visit,Car,Resort,2417,1438,979,5,Emirates,Relaxation,India
161,53,Female,95786,India,Rio de Janeiro,2024-06-09,11,Family Visit,Bus,Airbnb,4272,1365,2907,4,Lufthansa,Relaxation,India
162,20,Other,66872,Australia,Sydney,2024-06-10,10,Business,Bus,Resort,4466,2002,2464,5,United,Relaxation,India
163,57,Male,22952,Australia,Paris,2024-06-11,6,Leisure,Plane,Resort,984,549,435,2,Emirates,Sightseeing,India
164,62,Other,111593,Australia,Rio de Janeiro,2024-06-12,14,Family Visit,Bus,Resort,5091,2439,2652,4,United,Sightseeing,India
165,36,Female,112025,Canada,Cape Town,2024-06-13,16,Business,Plane,Hotel,7016,4166,2850,3,Delta,Cultural Exploration,India
166,26,Female,107853,India,Cape Town,2024-06-14,7,Business,Train,Resort,7739,3992,3747,4,Lufthansa,Relaxation,India
167,32,Female,138051,USA,Paris,2024-06-15,8,Business,Train,Resort,4535,1427,3108,3,Qatar,Adventure Sports,India
168,68,Other,54801,Australia,Tokyo,2024-06-16,2,Business,Car,Hostel,4297,1696,2601,5,Delta,Adventure Sports,India
169,33,Other,65749,Canada,Cape Town,2024-06-17,18,Family Visit,Car,Resort,7171,3150,4021,2,Emirates,Cultural Exploration,India
170,39,Male,46461,UK,Paris,2024-06-18,17,Leisure,Car,Hostel,3590,1861,1729,3,Delta,Relaxation,India
171,66,Other,36940,USA,Sydney,2024-06-19,10,Family Visit,Train,Resort,7694,4606,3088,3,United,Cultural Exploration,India
172,69,Female,118274,UK,Rio de Janeiro,2024-06-20,15,Family Visit,Plane,Hostel,1627,939,688,5,Emirates,Cultural Exploration,India
173,40,Other,140718,Canada,Cape Town,2024-06-21,6,Family Visit,Train,Hostel,6667,2443,4224,3,Delta,Sightseeing,India
174,67,Female,63637,India,Paris,2024-06-22,16,Family Visit,Bus,Hostel,3243,1912,1331,4,Qatar,Sightseeing,India
175,34,Female,118179,Australia,New York,2024-06-23,12,Family Visit,Bus,Hostel,3251,1863,1388,5,Lufthansa,Sightseeing,India
176,29,Male,20431,USA,Sydney,2024-06-24,8,Business,Car,Resort,6537,3612,2925,1,United,Sightseeing,India
177,36,Female,45077,Canada,Rio de Janeiro,2024-06-25,13,Business,Bus,Resort,5614,3076,2538,5,United,Adventure Sports,India
178,66,Female,88542,USA,New York,2024-06-26,7,Business,Car,Hotel,8880,3610,5270,1,Delta,Cultural Exploration,India
179,43,Male,111535,USA,Tokyo,2024-06-27,3,Business,Bus,Hostel,7600,2712,4888,3,Emirates,Sightseeing,India
180,33,Female,85633,USA,Cape Town,2024-06-28,6,Leisure,Plane,Airbnb,4782,2136,2646,4,United,Relaxation,India
181,23,Male,23945,USA,Cape Town,2024-06-29,16,Business,Plane,Resort,3915,2211,1704,1,Delta,Relaxation,India
182,21,Male,131354,Canada,Tokyo,2024-06-30,6,Leisure,Plane,Airbnb,4293,1891,2402,5,Delta,Adventure Sports,India
183,29,Female,20312,India,Cape Town,2024-07-01,1,Leisure,Plane,Airbnb,514,171,343,4,Delta,Adventure Sports,India
184,18,Male,98353,UK,Cape Town,2024-07-02,2,Family Visit,Plane,Resort,1366,662,704,5,Qatar,Sightseeing,India
185,26,Male,59714,UK,Cape Town,2024-07-03,10,Business,Train,Hotel,4878,1794,3084,4,Emirates,Cultural Exploration,India
186,31,Male,24276,UK,Cape Town,2024-07-04,2,Family Visit,Train,Hostel,805,437,368,2,Emirates,Relaxation,India
187,65,Female,97686,USA,Cape Town,2024-07-05,18,Business,Plane,Resort,2239,767,1472,1,Emirates,Sightseeing,India
188,32,Male,137947,India,New York,2024-07-06,2,Leisure,Train,Airbnb,7119,3468,3651,2,United,Sightseeing,India
189,67,Female,97376,UK,New York,2024-07-07,7,Leisure,Car,Hotel,2116,813,1303,1,Lufthansa,Adventure Sports,India
190,23,Male,79286,USA,Tokyo,2024-07-08,10,Family Visit,Car,Hotel,549,185,364,2,United,Cultural Exploration,India
191,23,Male,24942,Canada,Sydney,2024-07-09,5,Family Visit,Plane,Hostel,1994,624,1370,3,Emirates,Adventure Sports,India
192,58,Other,59751,India,Tokyo,2024-07-10,16,Leisure,Bus,Hostel,6934,2124,4810,5,United,Relaxation,India
193,50,Other,48006,USA,Cape Town,2024-07-11,3,Leisure,Bus,Hostel,3270,1314,1956,2,Qatar,Cultural Exploration,India
194,29,Other,52955,UK,Paris,2024-07-12,11,Family Visit,Car,Airbnb,7357,4345,3012,2,Qatar,Cultural Exploration,India
195,28,Other,114075,India,New York,2024-07-13,3,Family Visit,Car,Hostel,9267,3676,5591,1,Lufthansa,Cultural Exploration,India
196,56,Other,79022,UK,Paris,2024-07-14,15,Business,Car,Hostel,6083,3024,3059,3,Qatar,Adventure Sports,India
197,21,Female,33035,Australia,Rio de Janeiro,2024-07-15,8,Family Visit,Train,Airbnb,8212,4258,3954,5,Lufthansa,Cultural Exploration,India
198,68,Male,141574,USA,Rio de Janeiro,2024-07-16,12,Business,Car,Hotel,4162,1277,2885,2,Emirates,Cultural Exploration,India
199,41,Other,42317,Australia,Cape Town,2024-07-17,13,Business,Car,Hotel,7652,2410,5242,2,Emirates,Cultural Exploration,India
200,36,Other,129850,India,Paris,2024-07-18,4,Leisure,Plane,Hostel,5529,2816,2713,5,Qatar,Cultural Exploration,India
201,50,Female,125183,Australia,Tokyo,2024-07-19,13,Leisure,Car,Airbnb,8422,5007,3415,3,Delta,Cultural Exploration,India
202,39,Male,128916,UK,Paris,2024-07-20,11,Business,Plane,Hostel,3465,1806,1659,5,Qatar,Sightseeing,India
203,44,Female,105859,India,Cape Town,2024-07-21,6,Family Visit,Train,Hostel,8679,4626,4053,4,Emirates,Relaxation,India
204,57,Male,37420,UK,Sydney,2024-07-22,3,Family Visit,Plane,Airbnb,4338,2001,2337,4,United,Relaxation,India
205,65,Other,79801,Australia,Rio de Janeiro,2024-07-23,20,Leisure,Car,Resort,9190,3928,5262,2,Qatar,Cultural Exploration,India
206,66,Other,54292,Australia,Tokyo,2024-07-24,16,Family Visit,Car,Hostel,3234,1417,1817,3,Emirates,Cultural Exploration,India
207,67,Male,89745,USA,Rio de Janeiro,2024-07-25,11,Leisure,Plane,Hostel,1760,952,808,4,Delta,Cultural Exploration,India
208,25,Female,104408,USA,Tokyo,2024-07-26,3,Family Visit,Train,Airbnb,1815,1077,738,1,Qatar,Relaxation,India
